3 Verkauf von Grundstücken,,,,,,,,
20 +  Einzahlungen aus Verkauf von Grundstücken,,"245.457,00",150.000,150.000,150.000,150.000,150.000,0
5.7.1.01/0003.6821000,"Einzahlungen aus Veräußerung von Grundstücken,","245.457,00",150.000,150.000,150.000,150.000,150.000,0
"","Gebäuden, Infrastrukturvermögen",,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"245.457,00",150.000,150.000,150.000,150.000,150.000,0
"",,,,,,,,
3004Gewerbegebiet Smatvelde,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,0,0,0,0,0
