"1611Neues Gartenamt, Lagerbuchten für Schüttgüter",,,,,,,
50 -Auszahlungen für Baumaßnahmen,"12.779,00",0,0,0,0,0,0
1.1.1.14/1611.7851000 Auszahlungen für Hochbaumaßnahmen,"12.779,00",0,0,0,0,0,0
60  Saldo aus Einzahlungen und Auszahlungen,"-12.779,00",0,0,0,0,0,0
"",,,,,,,
3001 Schmutz-und Regenwasseranschlüsse für städtische Grundstücke,,,,,,,
50 -Auszahlungen für Baumaßnahmen,"0,00",30.000,20.000,20.000,20.000,20.000,0
1.1.1.14/3001.7852000 Auszahlungen für Tiefbaumaßnahmen,"0,00",30.000,20.000,20.000,20.000,20.000,0
60  Saldo aus Einzahlungen und Auszahlungen,"0,00",-30.000,-20.000,-20.000,-20.000,-20.000,0
"",,,,,,,
8888mittelfristige Maßnahmen,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,"0,00",0,0,0,0,0,0
