100 Anschaffungen 150 €  bis 1.000 € netto,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"5.237,18",2.000,2.000,2.000,2.000,2.000,0
5.5.3.01/0100.7832000 Ausz. f.d. Erw. v. beweg. Vermögensgegenständen,,"5.237,18",2.000,2.000,2.000,2.000,2.000,0
v. > 150  bis 1000 € o. UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-5.237,18",-2.000,-2.000,-2.000,-2.000,-2.000,0
"",,,,,,,,
200 Betriebs-und Geschäftsausstattungen,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"0,00",6.000,800,3.800,1.000,4.000,0
5.5.3.01/0200.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"0,00",6.000,800,3.800,1.000,4.000,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",-6.000,-800,-3.800,-1.000,-4.000,0
"",,,,,,,,
500 Fahrzeuge,,,,,,,,
40 -Auszahlungen für den Erwerb von beweglichen Vermögensgegenständen,,"20.492,29",0,0,0,0,0,0
5.5.3.01/0500.7831000 Auszahl. f.d. Erw. von bewegl. Vermögengeg.st.,,"20.492,29",0,0,0,0,0,0
von mehr als 1000 Euro ohne UStr.,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"-20.492,29",0,0,0,0,0,0
"",,,,,,,,
1610Neubau Radladergarage,,,,,,,,
50 -Auszahlungen für Baumaßnahmen,,"14.797,97",0,0,0,0,0,0
5.5.3.01/1610.7851000 Auszahlungen für Hochbaumaßnahmen,,"14.797,97",0,0,0,0,0,0
60  Saldo aus Einzahlungen und Auszahlungen,,"-14.797,97",0,0,0,0,0,0
"",,,,,,,,
1616Friedhof Hasserode Erneuerung Zäune,,,,,,,,
50 -Auszahlungen für Baumaßnahmen,,"0,00",15.000,15.000,0,15.000,15.000,0
5.5.3.01/1616.7852000 Auszahlungen für Tiefbaumaßnahmen,,"0,00",15.000,15.000,0,15.000,15.000,0
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",-15.000,-15.000,0,-15.000,-15.000,0
"",,,,,,,,
3008Friedhof Erneuerung Wege,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,0,0,0,0,0
"",,,,,,,,
6666Bauliche Anlagen des Infrastrukturvermögens,,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,,"0,00",0,0,0,0,0,0
"",,,,,,,
8888mittelfristige Maßnahmen,,,,,,,
60  Saldo aus Einzahlungen und Auszahlungen,"0,00",0,0,0,0,0,0
