7 + Zinsen und ähnliche Einzahlungen,"10.130,33",3.000,1.000,1.000,1.000,1.000,0
6.1.2.01.6617000 Zinseinzahlungen von Kreditinstituten,"10.130,33",3.000,1.000,1.000,1.000,1.000,0
8  Einzahlungen aus laufender Verwaltungstätigkeit,"10.130,33",3.000,1.000,1.000,1.000,1.000,0
9Personalauszahlungen,"0,00",548.600,532.200,542.800,553.700,564.800,0
6.1.2.01.7012000 Dienstauszahlungen und dgl. an Arbeitnehmer,"0,00",548.600,532.200,542.800,553.700,564.800,0
"(Leistungszulage)",,,,,,,
14 + Zinsen und ähnliche Auszahlungen,"401.833,06",434.800,369.900,412.600,385.800,362.400,0
6.1.2.01.7515001 ZinsAusz a.GWW f.Franckeschule,"0,00",0,0,35.000,137.600,133.600,0
6.1.2.01.7517000 Zinsauszahlungen an Kreditinstitute,"0,00",40.000,7.000,40.000,50.000,60.000,0
6.1.2.01.7517301 Zinsauszahlungen an Kreditinstitute 1 (Darl.-Nr.,"33.135,00",27.500,21.900,16.300,10.600,5.000,0
6694901613 HSK),,,,,,,
6.1.2.01.7517302 Zinsauszahlungen an Kreditinstitute 2 (Darl.-Nr.,"124.659,75",122.000,115.000,108.000,0,0,0
6644900664 HSK),,,,,,,
6.1.2.01.7517303 Zinsauszahlungen an Kreditinstitute 3 (Darl.-Nr.,"47.944,89",40.000,31.000,22.000,13.000,0,0
6674900450 HSK),,,,,,,
6.1.2.01.7517304 Zinsauszahlungen an Kreditinstitute 4 (Darl.-Nr.,"3.067,72",2.300,1.400,600,0,0,0
0001327 KfWB),,,,,,,
6.1.2.01.7517306 Zinsauszahlungen an Kreditinstitute 6 (Darl.-Nr.,"19.353,94",16.500,13.700,10.800,7.900,5.100,0
0200735300 Westf.Landsch.KB),,,,,,,
6.1.2.01.7517307 Zinsauszahlungen an Kreditinstitute 7 (Darl.-Nr.,"12.034,82",9.300,6.400,3.600,700,0,0
7820169 KfWB),,,,,,,
6.1.2.01.7517308 Zinsauszahlungen an Kreditinstitute 8 (Darl.-Nr.,"779,49",0,0,0,0,0,0
6700246447 DKB),,,,,,,
6.1.2.01.7517309 Zinsauszahlungen an Kreditinstitute 9 (Darl.-Nr.,"19.361,78",18.000,16.600,15.100,3.600,0,0
33442380 KfWB),,,,,,,
6.1.2.01.7517313 Zinsauszahlungen an Kreditinstitute 13 (Darl.-Nr.,"237,69",0,0,0,0,0,0
016317012 Debeka Bauspk),,,,,,,
6.1.2.01.7517314 Zinsauszahlungen an Kreditinstitute 14 (Darl.-Nr.,"55.487,72",53.300,51.000,48.800,46.500,44.300,0
6700272484 DKB),,,,,,,
6.1.2.01.7517315 Zinsauszahlungen an Kreditinstitute 15 (Darl.-Nr.,"20.514,28",19.600,18.600,17.600,16.600,15.600,0
6260189654 HSK),,,,,,,
6.1.2.01.7517316 Zinsauszahlungen an Kreditinstitute 16,"11.028,06",10.200,9.400,8.500,7.700,6.900,0
"(Darl.Nr.07555840-20 Commerzbank)",,,,,,,
6.1.2.01.7517317 Zinsauszahlungen an Kreditinstitute 17,"47.040,05",46.100,45.100,44.200,43.200,42.200,0
"(6702554533 DKB)",,,,,,,
6.1.2.01.7517318 ZinsAufwDarl.6705346614 DKB 18,"0,00",0,16.800,16.100,15.400,14.700,0
6.1.2.01.7517999 Zinsauszahlungen an Kreditinstitute für,,"916,41",5.000,6.000,6.000,8.000,10.000,0
Kassenkredite,,,,,,,,
6.1.2.01.7594000 Auszahlungen für Negativzinsen,,"6.271,46",25.000,10.000,20.000,25.000,25.000,0
15  Auszahlungen aus laufender Verwaltungstätigkeit,,"401.833,06",983.400,902.100,955.400,939.500,927.200,0
16  Saldo aus laufender Verwaltungstätigkeit (Saldo Zeilen 8 und 15),,"-391.702,73",-980.400,-901.100,-954.400,-938.500,-926.200,0
17 Investitionstätigkeit - Einzahlungen,,"0,00",0,0,0,0,0,0
25 Einzahlungen aus Investitionstätigkeit,,"0,00",0,0,0,0,0,0
26 Investitionstätigkeit - Auszahlungen,,"0,00",0,0,0,0,0,0
33 Auszahlungen aus Investitionstätigkeit,,"0,00",0,0,0,0,0,0
34 Saldo aus Investitionstätigkeit,,"0,00",0,0,0,0,0,0
